,Country,Player,Runs,MatchDate,Weekday,Ground,Versus,Balls,Centuries,Strike_Rate
30102,Pakistan,Kamran Akmal,116,03-05-2009,Sun,Sheik Zayed Stadium,Australia,115,1,1.008695652173913
30103,Pakistan,Kamran Akmal,109,15-12-2005,Thu,National Stadium,England,111,1,0.9819819819819819
30104,Pakistan,Kamran Akmal,102,12-12-2005,Mon,Gaddafi Stadium,England,111,1,0.918918918918919
30105,Pakistan,Kamran Akmal,100,13-04-2008,Sun,Gaddafi Stadium,Bangladesh,81,1,1.2345679012345678
30215,Pakistan,Salman Butt,136,19-04-2008,Sat,National Stadium,Bangladesh,124,1,1.096774193548387
30216,Pakistan,Salman Butt,132,13-04-2008,Sun,Gaddafi Stadium,Bangladesh,127,1,1.0393700787401574
30217,Pakistan,Salman Butt,129,11-11-2007,Sun,Green Park,India,142,1,0.9084507042253521
30218,Pakistan,Salman Butt,129,14-06-2008,Sat,Shere Bangla National Stadium,India,136,1,0.9485294117647058
30219,Pakistan,Salman Butt,108,13-11-2004,Sat,Eden Gardens,India,130,1,0.8307692307692308
30220,Pakistan,Salman Butt,101,09-04-2005,Sat,Keenan Stadium,India,116,1,0.8706896551724138
30221,Pakistan,Salman Butt,101,06-02-2006,Mon,Arbab Niaz Stadium,India,111,1,0.9099099099099099
30222,Pakistan,Salman Butt,100,20-01-2009,Tue,National Stadium,Sri Lanka,117,1,0.8547008547008547
30387,Pakistan,Syed Zaheer Abbas,123,29-03-1982,Mon,Gaddafi Stadium,Sri Lanka,87,1,1.4137931034482758
30388,Pakistan,Syed Zaheer Abbas,118,17-12-1982,Fri,Ibn-e-Qasim Bagh Stadium,India,86,1,1.372093023255814
30389,Pakistan,Syed Zaheer Abbas,113,21-01-1983,Fri,National Stadium,India,99,1,1.1414141414141414
30390,Pakistan,Syed Zaheer Abbas,109,08-10-1982,Fri,Gaddafi Stadium,Australia,95,1,1.1473684210526316
30391,Pakistan,Syed Zaheer Abbas,108,17-12-1981,Thu,Sydney Cricket Ground,Australia,110,1,0.9818181818181818
30392,Pakistan,Syed Zaheer Abbas,105,31-12-1982,Fri,Gaddafi Stadium,India,82,1,1.2804878048780488
30393,Pakistan,Syed Zaheer Abbas,103,20-06-1983,Mon,Trent Bridge,New Zealand,121,1,0.8512396694214877
30513,Pakistan,Mohammad Hafeez,139,11-09-2011,Sun,Harare Sports Club,Zimbabwe,147,1,0.9455782312925171
30514,Pakistan,Mohammad Hafeez,121,02-05-2011,Mon,Kensington Oval,West Indies,138,1,0.8768115942028986
30515,Pakistan,Mohammad Hafeez,115,29-01-2011,Sat,AMI Stadium,New Zealand,144,1,0.7986111111111112
30587,Pakistan,Yasir Hameed,127,07-12-2003,Sun,Rawalpindi Cricket Stadium,New Zealand,154,1,0.8246753246753247
30588,Pakistan,Yasir Hameed,116,09-09-2003,Tue,Multan Cricket Stadium,Bangladesh,132,1,0.8787878787878788
30589,Pakistan,Yasir Hameed,102,17-07-2004,Sat,Sinhalese Sports Club Ground,Bangladesh,123,1,0.8292682926829268
30641,Pakistan,Imran Nazir,160,21-03-2007,Wed,Sabina Park,Zimbabwe,121,1,1.322314049586777
30642,Pakistan,Imran Nazir,105,15-04-2000,Sat,National Cricket Stadium,Zimbabwe,135,1,0.7777777777777778
30710,Pakistan,Mohsin Khan,117,17-12-1982,Fri,Ibn-e-Qasim Bagh Stadium,India,118,1,0.9915254237288136
30711,Pakistan,Mohsin Khan,104,20-09-1982,Mon,Niaz Stadium,Australia,101,1,1.0297029702970297
30889,Pakistan,Saleem Elahi,135,11-12-2002,Wed,St George's Park,South Africa,129,1,1.0465116279069768
30890,Pakistan,Saleem Elahi,108,27-11-2002,Wed,Harare Sports Club,Zimbabwe,119,1,0.907563025210084
30891,Pakistan,Saleem Elahi,107,24-11-2002,Sun,Queens Sports Club,Zimbabwe,111,1,0.963963963963964
30892,Pakistan,Saleem Elahi,102,29-09-1995,Fri,Jinnah Stadium (Gujwranwala),Sri Lanka,133,1,0.7669172932330827
31033,Pakistan,Umar Akmal,102,07-08-2009,Fri,R. Premadasa Stadium,Sri Lanka,72,1,1.4166666666666667
31070,Pakistan,Shoaib Mohammad,126,08-03-1989,Wed,Basin Reserve,New Zealand,155,1,0.8129032258064516
31120,Pakistan,Basit Ali,127,05-11-1993,Fri,Sharjah CA Stadium,West Indies,79,1,1.6075949367088607
31160,Pakistan,Imran Farhat,107,07-12-2003,Sun,Rawalpindi Cricket Stadium,New Zealand,112,1,0.9553571428571429
31197,Pakistan,Mohammad Asif Mujtaba,113,30-10-1993,Sat,Sharjah CA Stadium,Sri Lanka,134,1,0.8432835820895522
31361,Pakistan,Majid Khan,109,31-08-1974,Sat,Trent Bridge,England,93,1,1.1720430107526882
31872,Pakistan,Ahmed Shehzad,115,03-02-2011,Thu,Seddon Park,New Zealand,109,1,1.055045871559633
